model_id,type_id,glb_relpath,n_annotated_parts,solver_plan,stiffness_ratio,glb_bytes,glb_sha256
0001ede2d8004ec19b7cdf2a1c424631,000-167,glbs/000-167/0001ede2d8004ec19b7cdf2a1c424631.glb,2,single_domain,22.0,64968,c1bc10d9989adc720a0f694f21cb80588a05d8c95682962b3703f55e831086e2
000234d39e684deb80b7b8d028681dc1,000-001,glbs/000-001/000234d39e684deb80b7b8d028681dc1.glb,4,single_domain,2.7,15748,1c07d89c7c648c27f0d87a2de25b74bd6c6c430facf021799357a38d822ad4dd
00033fdbe9f84abeaa9b878761356d35,000-162,glbs/000-162/00033fdbe9f84abeaa9b878761356d35.glb,10,rigid_soft_coupling,1691666.7,901024,02422dd7dd78f523a9e5672cbb702fc7dd6687740cb970d05151db8525ed7ac7
0004dd3ffcd04401b1437bdbcdc5775a,000-163,glbs/000-163/0004dd3ffcd04401b1437bdbcdc5775a.glb,19,rigid_soft_coupling,1691666.7,1100480,cbe6d31dc8290269b9ba7b5aba98ef25428e446c30841290abec0336775c0380
00063df5b7d742afa11cac8a690272fd,000-163,glbs/000-163/00063df5b7d742afa11cac8a690272fd.glb,27,rigid_soft_coupling,1691666.7,1532844,4c5e31c3eea06cc124383f5bcce4b7283967117b0f4afac599951c047f92419a
00092ddddf9a4ff4b99929394ad08473,000-167,glbs/000-167/00092ddddf9a4ff4b99929394ad08473.glb,23,rigid_soft_coupling,1691666.7,2134984,636f5943e872e8dc84baa857684f5cedb48c7287aadd96bafaa5895b57f1a8ab
000a3d9fa4ff4c888e71e698694eb0b0,000-000,glbs/000-000/000a3d9fa4ff4c888e71e698694eb0b0.glb,3,implicit_or_substep,22329.5,3406028,7abf41e118484522730b33093a449609c632e99b57bc3773d78abeb5776b0b6c
000dc47636804075bdad03a0afe96be7,000-167,glbs/000-167/000dc47636804075bdad03a0afe96be7.glb,4,rigid_soft_coupling,1691666.7,388020,01d59735fc94e86d0a82400fb5e401dda249da31dbbaafa399b3acdb8404c090
000e6f9f18ae4e27ba65dd0d5feed178,000-167,glbs/000-167/000e6f9f18ae4e27ba65dd0d5feed178.glb,2,single_domain,1.0,1357944,184f311af1cb78c0d5f136f7ae9891c4bb809d21afbc25b6e017fceff5e44f47
000fee3ae420464baf66208936dc6508,000-167,glbs/000-167/000fee3ae420464baf66208936dc6508.glb,2,single_domain,22.0,83524,c4c8468d39a6aac8db4e7f0b197886cdc1911db4a10d3e8b1c3305b40e9d89f7
000ffb60641441b280cce38879db8fe8,000-165,glbs/000-165/000ffb60641441b280cce38879db8fe8.glb,13,rigid_soft_coupling,76790.7,1436052,03c145cf3c48e1f27e18a8ca2e7c1f58dc56f50f079c569fde0b2761bdb90ecd
0010fd16f355434f98fd9b877f10819e,000-167,glbs/000-167/0010fd16f355434f98fd9b877f10819e.glb,7,implicit_or_substep,23068.2,3218812,dda9eb7a793e512b1ae2fb867f140100cbbe2cc1cb9d5a06af0a0489c3458a4f
00123fa59c6c45f4a76db0a1060641ec,000-031,glbs/000-031/00123fa59c6c45f4a76db0a1060641ec.glb,6,rigid_soft_coupling,1691666.7,192424,d2e4c3416deeebe6cadcc955232b8f5cc825e1dded2f86c11517fd43531087da
001663c3d4594fbc856389592fd21d18,000-165,glbs/000-165/001663c3d4594fbc856389592fd21d18.glb,6,rigid_soft_coupling,76790.7,605208,5e23a1be08b52e461f0c221282712af04bf0c140fc4d4f994dff1823ab58442a
001684d50c924c0d8f8991c106ce704a,000-167,glbs/000-167/001684d50c924c0d8f8991c106ce704a.glb,4,single_domain,29.2,12468,4c43e0bcfab078b6363debaf0b4b072102dcb6eb842ce763705b708f7ffbd83b
0018720ff1c94aa888e31407a6b60bfb,000-119,glbs/000-119/0018720ff1c94aa888e31407a6b60bfb.glb,29,single_domain,2.9,33824,92976b7cf5a79d4470ede50719a8db8f03e4d60c8e4c2f8a510d0f639f89bd3f
001b90200bd2492fb9526391b2d4e088,000-167,glbs/000-167/001b90200bd2492fb9526391b2d4e088.glb,28,rigid_soft_coupling,1691666.7,1193512,44eeb8c2edd846fe7d1605370e2621edc77adf753cc0cc14e1ac39b471a11c5b
001e61a4983b4046ae8d49361442615f,000-160,glbs/000-160/001e61a4983b4046ae8d49361442615f.glb,11,single_domain,34.4,30539448,ac11e42e631e6396df092237626ba45e8ce73db43653fdc675743f42001b0da2
001fb6f270c044fc8546699453281d73,000-036,glbs/000-036/001fb6f270c044fc8546699453281d73.glb,14,rigid_soft_coupling,1691666.7,6859440,9dbadc369e2446612f2cb12d3ebf983994130a33bde69cac4f63bad770892104
00242b0655ce4c4789896f8dc163e73b,000-167,glbs/000-167/00242b0655ce4c4789896f8dc163e73b.glb,2,single_domain,1.8,254588,20dfcddb262487aa601eb0e1f55866e9a33ac74090abc044704ffd2372ff62cd
002666c82bf94e4797ed2fa07159b38e,000-167,glbs/000-167/002666c82bf94e4797ed2fa07159b38e.glb,5,implicit_or_substep,23068.2,2730264,4273468177b66e2bf8234f3e6e8d39c28d2acbe1586d8cfdd6f85532b7d2c501
002740ba6fca4258b631cf031c2adbdc,000-163,glbs/000-163/002740ba6fca4258b631cf031c2adbdc.glb,2,single_domain,34.4,948492,0f13005a692d1c0ba1abee7bf3e505ea4e047f4b1dab331877c9553e8fb66ba6
0028945613dd4742bdbcb22758005a2f,000-165,glbs/000-165/0028945613dd4742bdbcb22758005a2f.glb,13,rigid_soft_coupling,76790.7,1465292,cc1223dcae4411a4d09e8647fe3498ad227028040ffbb97c00790fa4a5a861c1
0028f59171ae4362a1b628f6d26edd73,000-167,glbs/000-167/0028f59171ae4362a1b628f6d26edd73.glb,30,single_domain,1.0,30828,987714d8a8985dadd7a56205f0b67c0f09a07f3e38c897f16629acb85303ddc5
002c9b8ef05e4ecd8d350e5a4b1a0ad4,000-165,glbs/000-165/002c9b8ef05e4ecd8d350e5a4b1a0ad4.glb,15,rigid_soft_coupling,916666.7,1804704,fd578c56ceb3c9bcdad1810b01209cadc61f92eadb5a842af787f16a9b80e2ae
002cd3a178b24a2eaa015947dbe994f8,000-164,glbs/000-164/002cd3a178b24a2eaa015947dbe994f8.glb,19,rigid_soft_coupling,916666.7,1154400,140b45cf7c8485cee116a37767623e88daa748beb97d212c7af7e1458f48ce67
