source_id,source_citation,source_doi_or_url,source_license,redistribution_clearance,academic_use_ok,n_rows_released
gwdd_v2.2,"Zanne et al. 2009, Global Wood Density Database v2.2, Dryad",https://doi.org/10.5061/dryad.234,CC0 1.0,PERMISSIVE,YES,18049.0
stresseng_figshare,"Kumar, Kabra & Cole 2024, Scientific Data 11:1273 (StressEng)",https://doi.org/10.6084/m9.figshare.25881025,CC BY 4.0,PERMISSIVE,YES,1079.0
cirad_wood_density,Cirad wood density database (Vieilledent et al.),https://github.com/ghislainv/wood-density-Cirad,CC BY-SA 4.0,COPYLEFT,YES_SHARE_ALIKE,1010.0
sciglass,"SciGlass database, EPAM Systems release (SciGK table)",https://github.com/epam/SciGlass,ODC ODbL,COPYLEFT,YES_SHARE_ALIKE,530.0
wikidata,"Wikidata material-property pull (P2054, P5480, P1088, ...)",https://www.wikidata.org/,CC0 1.0,PERMISSIVE,YES,237.0
usda_wood_handbook,"USDA FPL Wood Handbook FPL-GTR-190, Table 5-3a",https://www.fpl.fs.usda.gov/documnts/fplgtr/fpl_gtr190.pdf,US Government work,PUBLIC_DOMAIN,YES,223.0
mil_hdbk_5j,"MIL-HDBK-5J, Metallic Materials for Aerospace Vehicle Structures, 2003",https://archive.org/details/milhdbk-5-j,US Government work,PUBLIC_DOMAIN,YES,161.0
materials_project_dft,Materials Project elasticity + dielectric collections (DFT),https://doi.org/10.1063/1.4812323,CC BY 4.0,PERMISSIVE,YES,115.0
openpoly,"OpenPoly benchmark, 741 named polymers",https://github.com/WangGroupFDU/Openpoly_benchmark,MIT,PERMISSIVE,YES,58.0
stresseng_figshare_single_source,"StressEng, SINGLE_SOURCE / LOW confidence tier",https://doi.org/10.6084/m9.figshare.25881025,CC BY 4.0,PERMISSIVE,YES,54.0
nist_ceramics_elasticity,"NIST Ceramics Data Portal, Elasticity (NISTIR 6853)",https://srdata.nist.gov/CeramicDataPortal,US Government work,PUBLIC_DOMAIN,YES,43.0
